"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"KL","Kirkland Lake Gold Ltd.","42.38","8907810116.66","n/a","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/kl",
"KRG","Kite Realty Group Trust","15.8","1326910796.8","n/a","2004","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/krg",
"KKR","KKR & Co. Inc.","28.13","23701919341.21","n/a","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/kkr",
"KKR^A","KKR & Co. Inc.","26.57","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/kkr^a",
"KKR^B","KKR & Co. Inc.","26.2656","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/kkr^b",
"KIO","KKR Income Opportunities Fund","15.47","314664673.05","n/a","2013","n/a","n/a","https://old.nasdaq.com/symbol/kio",
"KREF","KKR Real Estate Finance Trust Inc.","19.74","1133333982.06","n/a","2017","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/kref",
"KNX","Knight Transportation, Inc.","36.22","6175933303.14","n/a","2017","Transportation","Trucking Freight/Courier Services","https://old.nasdaq.com/symbol/knx",
"KNL","Knoll, Inc.","25.23","1255838362.77","n/a","2004","Consumer Durables","Office Equipment/Supplies/Services","https://old.nasdaq.com/symbol/knl",
"KNOP","KNOT Offshore Partners LP","18.78","613995085.32","n/a","2013","Consumer Services","Marine Transportation","https://old.nasdaq.com/symbol/knop",
"KN","Knowles Corporation","20.83","1897933407.06","n/a","2014","Consumer Non-Durables","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/kn",
"KSS","Kohl&#39;s Corporation","52.7","8385978987.2","n/a","1992","Consumer Services","Department/Specialty Retail Stores","https://old.nasdaq.com/symbol/kss",
"PHG","Koninklijke Philips N.V.","47.77","43244990428.29","n/a","n/a","Energy","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/phg",
"KTB","Kontoor Brands, Inc.","35.48","2018077386.6","n/a","2019","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/ktb",
"KOP","Koppers Holdings Inc.","29.84","617181197.44","n/a","2006","Basic Industries","Forest Products","https://old.nasdaq.com/symbol/kop",
"KEP","Korea Electric Power Corporation","10.96","14071852567.84","n/a","1994","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/kep",
"KF","Korea Fund, Inc. (The)","27.525","141148392.675","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/kf",
"KFY","Korn Ferry ","38.22","2139396604.8","n/a","1999","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/kfy",
"KOS","Kosmos Energy Ltd.","6.28","2521159731.68","n/a","2011","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/kos",
"KRA","Kraton Corporation","34.3","1087533361.6","n/a","2009","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/kra",
"KR","Kroger Company (The)","26.23","20952486412.41","n/a","n/a","Consumer Services","Food Chains","https://old.nasdaq.com/symbol/kr",
"KRO","Kronos Worldwide Inc","12.67","1467267024.65","n/a","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/kro",
"KT","KT Corporation","11.55","5662940236.8","n/a","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/kt",
"LB","L Brands, Inc.","18.87","5215509605.22","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/lb",
"SCX","L.S. Starrett Company (The)","5.66","39028263.98","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/scx",
"LHX","L3Harris Technologies, Inc.","207.45","46173160308.15","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/lhx",
"LH","Laboratory Corporation of America Holdings","172.32","16835664000","n/a","n/a","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/lh",
"LADR","Ladder Capital Corp","17","2035467324","n/a","2014","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/ladr",
"LAIX","LAIX Inc.","5","245761155","n/a","2018","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/laix",
"LW","Lamb Weston Holdings, Inc.","72.15","10510397137.5","n/a","2016","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/lw",
"LCI","Lannett Co Inc","13.95","563658998.85","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/lci",
"LPI","Laredo Petroleum, Inc.","2.67","634043866.71","n/a","2011","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/lpi",
"LVS","Las Vegas Sands Corp.","59.34","45679252200.96","n/a","2004","Consumer Services","Hotels/Resorts","https://old.nasdaq.com/symbol/lvs",
"LTM","LATAM Airlines Group S.A.","9.59","5815449775.87","n/a","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/ltm",
"LGI","Lazard Global Total Return and Income Fund","15.95","153203530.15","n/a","2004","n/a","n/a","https://old.nasdaq.com/symbol/lgi",
